misProgramas/RTOS1_E2/out/RTOS1_E2.elf:1a000300 0000001c t keys_ButtonError
misProgramas/RTOS1_E2/out/RTOS1_E2.elf:1a00031c 00000020 t buttonPressed
misProgramas/RTOS1_E2/out/RTOS1_E2.elf:1a00033c 0000004c t buttonReleased
misProgramas/RTOS1_E2/out/RTOS1_E2.elf:100000a8 00000001 b debugPrint
misProgramas/RTOS1_E2/out/RTOS1_E2.elf:100000ac 00000004 b heap_end.5864
misProgramas/RTOS1_E2/out/RTOS1_E2.elf:100000b4 00002000 b ucHeap
misProgramas/RTOS1_E2/out/RTOS1_E2.elf:100000b0 00000004 b pucAlignedHeap.11512
misProgramas/RTOS1_E2/out/RTOS1_E2.elf:100020b4 00000004 b xNextFreeByte
misProgramas/RTOS1_E2/out/RTOS1_E2.elf:1a00079e 0000001e t prvIsQueueFull
misProgramas/RTOS1_E2/out/RTOS1_E2.elf:1a0007bc 0000001a t prvIsQueueEmpty
misProgramas/RTOS1_E2/out/RTOS1_E2.elf:1a0007d6 00000076 t prvCopyDataToQueue
misProgramas/RTOS1_E2/out/RTOS1_E2.elf:1a00084c 00000024 t prvCopyDataFromQueue
misProgramas/RTOS1_E2/out/RTOS1_E2.elf:1a000870 0000006e t prvUnlockQueue
misProgramas/RTOS1_E2/out/RTOS1_E2.elf:1a000964 00000022 t prvInitialiseNewQueue
misProgramas/RTOS1_E2/out/RTOS1_E2.elf:1a000ee8 0000002c t prvResetNextTaskUnblockTime
misProgramas/RTOS1_E2/out/RTOS1_E2.elf:1a000f14 00000012 t prvDeleteTCB
misProgramas/RTOS1_E2/out/RTOS1_E2.elf:1a000f26 00000090 t prvInitialiseNewTask
misProgramas/RTOS1_E2/out/RTOS1_E2.elf:1a000fb8 00000068 t prvInitialiseTaskLists
misProgramas/RTOS1_E2/out/RTOS1_E2.elf:1a001020 000000ac t prvAddNewTaskToReadyList
misProgramas/RTOS1_E2/out/RTOS1_E2.elf:1a0010cc 0000004c t prvCheckTasksWaitingTermination
misProgramas/RTOS1_E2/out/RTOS1_E2.elf:1a001118 00000028 t prvIdleTask
misProgramas/RTOS1_E2/out/RTOS1_E2.elf:1a001140 00000098 t prvAddCurrentTaskToDelayedList
misProgramas/RTOS1_E2/out/RTOS1_E2.elf:100020bc 00000004 b pxDelayedTaskList
misProgramas/RTOS1_E2/out/RTOS1_E2.elf:100020c0 00000004 b pxOverflowDelayedTaskList
misProgramas/RTOS1_E2/out/RTOS1_E2.elf:100020c4 0000008c b pxReadyTasksLists
misProgramas/RTOS1_E2/out/RTOS1_E2.elf:10002150 00000004 b uxCurrentNumberOfTasks
misProgramas/RTOS1_E2/out/RTOS1_E2.elf:10002154 00000004 b uxDeletedTasksWaitingCleanUp
misProgramas/RTOS1_E2/out/RTOS1_E2.elf:10002158 00000004 b uxPendedTicks
misProgramas/RTOS1_E2/out/RTOS1_E2.elf:1000215c 00000004 b uxSchedulerSuspended
misProgramas/RTOS1_E2/out/RTOS1_E2.elf:10002160 00000004 b uxTaskNumber
misProgramas/RTOS1_E2/out/RTOS1_E2.elf:10002164 00000004 b uxTopReadyPriority
misProgramas/RTOS1_E2/out/RTOS1_E2.elf:10002168 00000014 b xDelayedTaskList1
misProgramas/RTOS1_E2/out/RTOS1_E2.elf:1000217c 00000014 b xDelayedTaskList2
misProgramas/RTOS1_E2/out/RTOS1_E2.elf:10002190 00000004 b xIdleTaskHandle
